,Pt,Sn,Ga,Fe,Cu,Ca,Mn,Zn,k_d,Y0,lifetime_yield,Y_pc,sqrtY0Y_pc,lifetime_yield_sd,Y_pc_sd,sqrtY0Y_pc_sd,loo-cv_pred_mu,loo-cv_pred_sigma,euclidean_distance,residual,abs_residual
0,1,0,0,0,0,0,0,0,0.009887835142857144,0.07916734885714284,7.906377920857143,7.1228920005714285,0.7494297671428571,1.3915225140708571,0.11752771800942857,0.012365591157857143,2.143836271122612,0.5977102163644815,5.0700201521031305,1.394406503979755,1.394406503979755
34,1,4,0,0,0,4,0,0,0.0005433578888888889,0.3226196712222222,611.4422886,72.60053022111111,4.839589604333333,107.61384279359999,1.1979087486483335,0.07985322847149999,4.290771021018543,0.8344201023297497,5.601636951228135,-0.54881858331479,0.54881858331479
37,1,4,0,0,4,0,0,0,0.001115562,0.324569864,290.94752410000007,68.34046401,4.709697987,51.206764241600006,1.1276176561650002,0.0777100167855,3.538964013078704,0.8638849919088085,5.542024592407201,-1.1707339739212963,1.1707339739212963
46,1,4,4,0,0,0,0,0,0.001330542,0.255995058,192.399017,52.59504484,3.669342117,33.862226992,0.8678182398600001,0.0605441449305,2.221807238815946,1.724342947608828,6.188883823953908,-1.4475348781840536,1.4475348781840536
43,1,4,0,4,0,0,0,0,0.001500437,0.282907305,188.549957,57.01690709,4.016279311,33.184792432,0.940778966985,0.0662686086315,3.3509929966297194,1.4913290767406862,6.110570966469107,-0.6652863143702805,0.6652863143702805
18,1,0,4,0,4,0,0,0,0.0049884890000000005,0.068071433,13.64570222,9.52432536,0.805192199,2.40164359072,0.15715136844000002,0.013285671283500002,2.4150273387911603,1.9031667437649387,6.263112148186706,1.6098351397911603,1.6098351397911603
19,1,0,4,4,0,0,0,0,0.005174767,0.116182664,22.45176614,15.96719853,1.36202484,3.9515108406399997,0.263458775745,0.022473409859999998,0.9836902130525453,2.1997432980445146,6.792434505795745,-0.37833462694745457,0.37833462694745457
17,1,0,4,0,0,4,0,0,0.00272163,0.16759881,61.58029628,29.53499256,2.2248662009999998,10.83813214528,0.48732737724,0.0367102923165,1.7621475120910852,2.098515381834542,6.419666090175042,-0.46271868890891454,0.46271868890891454
6,1,0,0,0,4,4,0,0,0.0019859739999999997,0.25766362,129.7417082,49.1889842,3.5600859160000002,22.8345406432,0.8116182393,0.05874141761400001,3.9139041767978973,1.6578891937528584,5.717476969135602,0.353818260797897,0.353818260797897
13,1,0,0,4,4,0,0,0,0.006095517,0.145620301,23.889739000000002,18.3578738,1.6350165490000002,4.204594064,0.3029049177,0.026977773058500003,2.7326331635579666,1.8923629334673413,6.212041900763951,1.0976166145579664,1.0976166145579664
12,1,0,0,4,0,4,0,0,0.003000218,0.206898597,68.96118825,35.39593028,2.70617226,12.137169132,0.58403284962,0.04465184229000001,2.297676203147872,1.826861607242907,6.350872166299772,-0.4084960568521283,0.4084960568521283
1,1,0,0,0,0,1,0,0,0.0066394869999999995,0.052747453,7.944506787999999,6.330041625,0.577835248,1.3982331946879998,0.10444568681250001,0.009534281592,2.4507401590641686,0.6281863762985359,4.91182939547074,1.8729049110641687,1.8729049110641687
2,1,0,0,0,0,4,0,0,0.005610321,0.21191034600000003,37.77151922,27.94506333,2.433484752,6.64778738272,0.46109354494500004,0.040152498408000004,1.1005784988798968,1.2488107441153047,5.508154406611846,-1.3329062531201032,1.3329062531201032
3,1,0,0,0,0,8,0,0,0.0065548659999999995,0.162040571,24.7206527,19.593906699999998,1.7818551630000001,4.3508348751999995,0.32329946055,0.029400610189500003,1.6239413930450888,2.314098511103654,8.096679138747945,-0.15791376995491135,0.15791376995491135
5,1,0,0,0,4,0,0,0,0.004046617,0.24878926,61.48080398,38.20214673,3.082901848,10.82062150048,0.6303354210450001,0.05086788049200001,2.60002811546365,1.3209581579655487,5.329809416663637,-0.4828737325363499,0.4828737325363499
33,1,4,0,0,0,0,0,0,0.00148131,0.331259969,223.62640090000002,66.90613584,4.707794016999999,39.358246558400005,1.1039512413600001,0.0776786012805,4.4430989450741825,1.2085772098469945,5.245054555147481,-0.264695071925817,0.264695071925817
21,1,1,0,0,0,0,0,0,0.002027273,0.291420253,143.7498966,55.38016642,4.017325243,25.299981801599998,0.91377274593,0.06628586650950001,2.7619163646293834,0.3884288117297793,4.8356567647187125,-1.2554088783706168,1.2554088783706168
48,1,8,0,0,0,0,0,0,0.000833125,0.28836912600000003,346.1296197,62.72846353,4.253110886,60.91881306719999,1.035019648245,0.070176329619,2.8287705407023234,1.807908268796545,7.733692350042047,-1.4243403452976766,1.4243403452976766
9,1,0,0,1,0,0,0,0,0.004508427,0.155296463,34.44581999,22.77180787,1.8805268480000001,6.062464318239999,0.375734829855,0.031028692992000003,2.389474603230408,0.7063932125638946,5.034110742640064,0.508947755230408,0.508947755230408
11,1,0,0,4,0,0,0,0,0.004844945,0.209916098,43.32682644,29.78226426,2.500355318,7.625521453439999,0.49140736029000004,0.041255862747,0.9948483303644043,1.8349999124281045,6.004543027248181,-1.5055069876355955,1.5055069876355955
14,1,0,0,8,0,0,0,0,0.003246457,0.045527204,14.023657199999999,7.589660254,0.587823113,2.4681636672,0.12522939419100002,0.009699081364500001,0.7349366575576111,2.3191594685641594,8.74958496113746,0.14711354455761105,0.14711354455761105
7,1,0,0,0,8,0,0,0,0.004645028,0.325959514,70.17384791,47.15832504,3.920676565,12.35059723216,0.7781123631600001,0.06469116332250001,1.5721401498317908,0.9016707124514092,7.621581341663122,-2.3485364151682093,2.3485364151682093
15,1,0,1,0,0,0,0,0,0.0026394490000000003,0.23858290100000001,90.39117614,42.41623146,3.181161355,15.908847000639998,0.6998678190900001,0.0524891623575,2.10252258995566,0.40848933301307927,5.035765572560983,-1.07863876504434,1.07863876504434
16,1,0,4,0,0,0,0,0,0.0036896790000000004,0.134258034,36.38745319,21.37768832,1.6941447440000001,6.40419176144,0.35273185728,0.027953388276000003,2.7913405347730897,1.7947061522134673,6.052162051753014,1.0971957907730896,1.0971957907730896
20,1,0,8,0,0,0,0,0,0.003491111,0.075427226,21.60550697,12.25826277,0.9615647429999999,3.8025692267199998,0.20226133570500002,0.015865818259499998,0.10507988195568044,2.3307942923785494,8.828700176439455,-0.8564848610443195,0.8564848610443195
4,1,0,0,0,1,0,0,0,0.006304835999999999,0.21145409,33.53839677,26.15281029,2.351620439,5.90275783152,0.43152136978500005,0.0388017372435,2.5704574642764353,0.6121135001726925,4.875745856839148,0.21883702527643534,0.21883702527643534
35,1,4,0,0,1,1,0,0,0.00128992,0.261937275,203.06470369999997,54.06507649,3.763197949,35.73938785119999,0.8920737620850001,0.0620927661585,3.9917732655342815,0.5924416491318044,4.855660564505687,0.22857531653428165,0.22857531653428165
30,1,1,1,0,0,0,0,0,0.001724922,0.29790193600000003,172.70457869999998,58.54455226,4.176186715,30.396005851199995,0.9659851122900001,0.0689070807975,4.698232072339491,0.31760224674174703,4.795924390208313,0.5220453573394908,0.5220453573394908
39,1,4,0,1,0,1,0,0,0.00076918,0.297895852,387.2902064,65.28390414,4.409966464,68.16307632639999,1.0771844183100001,0.072764446656,3.8442420957628687,0.5906693216655085,4.99026250726042,-0.5657243682371313,0.5657243682371313
31,1,1,1,0,1,0,0,0,0.00384687,0.253350401,65.85884046,39.69796847,3.1713555810000003,11.591155920959999,0.655016479755,0.05232736708650001,2.5763303390532584,0.6326881465441958,4.5953242360966335,-0.5950252419467419,0.5950252419467419
42,1,4,0,1,1,1,0,0,0.001012475,0.264779738,261.51718230000006,56.41549942,3.8649296410000002,46.027024084800004,0.9308557404300001,0.06377133907650001,3.771942142442969,0.6406623017300426,4.791356123860791,-0.09298749855703115,0.09298749855703115
41,1,4,0,1,1,0,0,0,0.001174773,0.24026403100000002,204.5196119,50.24743042,3.474571943,35.995451694399996,0.82908260193,0.0573304370595,4.169011310428149,0.6079780622545891,4.985368214086364,0.6944393674281493,0.6944393674281493
27,1,1,0,1,0,4,0,0,0.002211173,0.295610447,133.6894158,55.05277481,4.0341263430000005,23.5293371808,0.9083707843650001,0.0665630846595,4.937761315825397,0.6138808265754288,5.213115886922669,0.9036349728253965,0.9036349728253965
38,1,4,0,0,4,1,0,0,0.001043305,0.27844148399999996,266.88394280000006,59.1162542,4.057144015,46.971573932800005,0.9754181943000001,0.0669428762475,4.200670074694079,0.8790248154844471,5.374490078071057,0.1435260596940786,0.1435260596940786
28,1,1,0,1,1,4,0,0,0.002004811,0.31522692199999996,157.23521000000002,60.05295523,4.3508974060000005,27.67339696,0.990873761295,0.07178980719900001,4.095274010534464,0.7163797544853465,5.0160263479988645,-0.2556233954655367,0.2556233954655367
22,1,1,0,0,1,4,0,0,0.0018314579999999998,0.31859592,173.95753059999998,61.87211056,4.4398425669999995,30.616525385599996,1.0208898242400002,0.07325740235549999,3.779819858079052,0.6000440934952845,5.068254546031804,-0.6600227089209474,0.6600227089209474
40,1,4,0,1,0,4,0,0,0.000612798,0.31502625,514.0783524,70.30935948,4.706303627,90.47779002239999,1.16010443142,0.0776540098455,3.4651820221962635,0.6681620224331073,5.55967039742504,-1.2411216048037361,1.2411216048037361
49,1,8,0,1,0,1,0,0,0.000748568,0.19013775600000002,254.00188599999998,41.76876370000001,2.818123312,44.704331935999996,0.6891846010500001,0.046499034648,2.9683219536481795,1.8068382834405317,7.560062360150292,0.15019864164817953,0.15019864164817953
44,1,4,1,0,0,4,0,0,0.0010179639999999999,0.23550166100000003,231.34575409999997,50.14564605,3.436478278,40.71685272159999,0.8274031598250001,0.056701891587,3.641303522251893,0.7655844279526501,5.587496815988528,0.20482524425189297,0.20482524425189297
47,1,4,4,1,0,1,0,0,0.0013720370000000002,0.140387857,102.3207787,28.70760686,2.007535655,18.0084570512,0.47367551319,0.0331243383075,2.3435972195691086,1.6456067721122716,5.990422702014809,0.33606156456910874,0.33606156456910874
36,1,4,0,0,1,4,0,0,0.0011147639999999999,0.187121812,167.85771719999997,39.40341245,2.715370684,29.542958227199993,0.650156305425,0.044803616286,3.961312483461916,0.6321197438006579,5.432844516217273,1.245941799461916,1.245941799461916
24,1,1,0,0,8,0,0,0,0.0050247370000000005,0.22644434300000002,45.06591004,31.57266463,2.673845787,7.931600167039999,0.520948966395,0.0441184554855,3.8950837910742004,0.5546612125133389,7.469964361803039,1.2212380040742006,1.2212380040742006
45,1,4,1,4,0,1,0,0,0.001104682,0.167331597,151.4748637,35.27682698,2.429594165,26.659576011199995,0.5820676451700001,0.0400883037225,3.2509281813110245,1.5792123382346475,5.928271555210697,0.8213340163110243,0.8213340163110243
25,1,1,0,0,8,1,0,0,0.002795202,0.27071836,96.85109834,47.33359013,3.5796748330000003,17.045793307839997,0.781004237145,0.05906463474450001,2.3844525414698134,0.8260156164291632,7.324895647303403,-1.1952222915301869,1.1952222915301869
29,1,1,0,1,4,1,0,0,0.00220078,0.328028343,149.0509134,61.15963053,4.479072704,26.2329607584,1.009133903745,0.073904699616,4.01334192700053,0.689320835428638,4.884793790869069,-0.46573077699946985,0.46573077699946985
23,1,1,0,0,4,1,0,0,0.002277447,0.285634192,125.4185774,52.810990000000004,3.883892953,22.0736696224,0.8713813350000001,0.0640842337245,4.575714197744848,0.6386908763662635,4.919967340717571,0.6918212447448475,0.6918212447448475
8,1,0,0,0,8,4,0,0,0.001952014,0.28059349100000003,143.7456517,53.7679279,3.884189824,25.2992346992,0.88717081035,0.064089132096,4.232037283415793,1.066399901435378,7.857494752913119,0.3478474594157932,0.3478474594157932
32,1,1,1,0,4,1,0,0,0.0027885540000000004,0.32404444600000004,116.205174,56.69755699,4.28631875,20.452110624,0.9355096903350001,0.07072425937500001,3.862424575189923,0.7654281512399731,4.901852450705207,-0.4238941748100773,0.4238941748100773
26,1,1,0,0,8,4,0,0,0.00224168,0.309563462,138.0944084,57.45928002,4.217498504,24.304615878399996,0.94807812033,0.06958872531600001,3.77308892366163,0.9479512572081856,7.723836887881082,-0.4444095803383701,0.4444095803383701
10,1,0,0,1,8,4,0,0,0.001223986,0.279907347,228.6850654,58.20998549,4.036508713,40.2485715104,0.9604647605850001,0.0666023937645,3.8845215226450476,0.9612388662641075,7.837447789389899,-0.15198719035495234,0.15198719035495234
